User Name, User Interaction, Time Taken
Samira,Search Bar Profile Button clicked,382.476
Samira,Go to accessibility page click,4.704
Samira,Increase Text size clicked,2.022
Samira,Back button from accessibility page,3.029
Samira,Go to accessibility page click,6.003
Samira,Cycle Color Blind Mode,2.027
Samira,Back button from accessibility page,2.088
Samira,Back button from profile page,1.109
Samira,Search Bar Query submit,4.279
Samira,Search Bar Profile Button clicked,3.062
Samira,Go to accessibility page click,1.588
Samira,Cycle Color Blind Mode,1.646
Samira,Cycle Color Blind Mode,2.772
Samira,Cycle Color Blind Mode,1.877
Samira,Bold/Unbold check clicked,5.01
Samira,Bold/Unbold check clicked,4.555
Samira,Back button from accessibility page,2.274
Samira,Back button from profile page,1.132
Samira,CALENDAR navigation button clicked,14.06
Samira,Go Ahead in Calendar Date,6.617
Samira,Set Calendar Date Daily,7.631
Samira,App Start,32.628
Samira,App Loaded,0.175
Samira,Zoom In,10.596
Samira,Zoom In,1.509
Samira,Click on Shuttle Stop marker,3.345
Samira,Show Shuttle full schedule,6.337
Samira,Dismiss Shuttle Stop Info card,14.035
Samira,bottom search button click,9.384
Samira,Building suggestion clicked,18.894
Samira,Bottom Card Go (Search route),6.193
Samira,Show route steps,7.006
Samira,Cancel route button click,2.774
Malik,MAP navigation button clicked,1.352
Malik,Map Controls Hidden Toggle,2.906
Malik,Search Bar Query submit,6.839
Malik,POI navigation button clicked,6.028
Malik,MAP navigation button clicked,1.234
Malik,Map Controls Hidden Toggle,3.474
Malik,Search Bar Profile Button clicked,9.374
Malik,Attempted profile button from profile page,1.816
Malik,Go to accessibility page click,0.931
Malik,Increase Text size clicked,1.679
Malik,Decrease Text size clicked,1.381
Malik,Cycle Color Blind Mode,0.718
Malik,Cycle Color Blind Mode,0.527
Malik,Cycle Color Blind Mode,0.534
Malik,Cycle Color Blind Mode,0.474
Malik,Bold/Unbold check clicked,1.439
Malik,Bold/Unbold check clicked,0.811
Malik,Back button from accessibility page,1.628
Malik,Back button from profile page,1.851
Malik,CALENDAR navigation button clicked,5.248
Malik,Go Ahead in Calendar Date,2.153
Malik,MAP navigation button clicked,6.097
Malik,Zoom In,6.153
Malik,Zoom In,0.647
Malik,Map Controls Hidden Toggle,2.564
Malik,Click on Shuttle Stop marker,1.392
Malik,Show Shuttle full schedule,2.76
Malik,Building suggestion clicked,13.764
Nhu-Nguyen,App Loaded,0.012
Nhu-Nguyen,Map Controls Hidden Toggle,36.086
Nhu-Nguyen,Map Controls Visible Toggle,2.665
Nhu-Nguyen,Search Bar Profile Button clicked,5.511
Nhu-Nguyen,Go to accessibility page click,4.47
Nhu-Nguyen,Bold/Unbold check clicked,5.936
Nhu-Nguyen,Cycle Color Blind Mode,4.743
Nhu-Nguyen,Increase Text size clicked,4.467
Nhu-Nguyen,Back button from accessibility page,8.135
Nhu-Nguyen,Back button from profile page,1.498
Nhu-Nguyen,CALENDAR navigation button clicked,3.897
Nhu-Nguyen,Go Ahead in Calendar Date,4.184
Nhu-Nguyen,MAP navigation button clicked,12.226
Nhu-Nguyen,MAP navigation button clicked,0.572
Nhu-Nguyen,Click on Shuttle Stop marker,11.13
Nhu-Nguyen,Show Shuttle full schedule,3.544
Nhu-Nguyen,Dismiss Shuttle Stop Info card,6.915
Nhu-Nguyen,Zoom In,9.023
Nhu-Nguyen,Zoom In,0.26
Nhu-Nguyen,Building suggestion clicked,17.465
Nhu-Nguyen,Top Bar go click,6.005
Thein-Son-Mac,App Loaded,2.193
Thein-Son-Mac,Search Bar Profile Button clicked,39.598
Thein-Son-Mac,Go to accessibility page click,5.344
Thein-Son-Mac,Bold/Unbold check clicked,7.18
Thein-Son-Mac,Cycle Color Blind Mode,9.368
Thein-Son-Mac,Increase Text size clicked,3.994
Thein-Son-Mac,Back button from accessibility page,3.71
Thein-Son-Mac,Back button from profile page,2.883
Thein-Son-Mac,CALENDAR navigation button clicked,8.072
Thein-Son-Mac,Go Ahead in Calendar Date,5.087
Thein-Son-Mac,MAP navigation button clicked,10.579
Thein-Son-Mac,Zoom In,16.979
Thein-Son-Mac,Zoom In,8.125
Thein-Son-Mac,Click on Shuttle Stop marker,7.04
Thein-Son-Mac,Click on Shuttle Stop marker,3.023
Thein-Son-Mac,Show Shuttle full schedule,5.627
Thein-Son-Mac,Dismiss Shuttle Stop Info card,17.312
Thein-Son-Mac,Building suggestion clicked,33.505
Thein-Son-Mac,Bottom Card Go (Search route),15.678
Thein-Son-Mac,Remove Route bar click,18.587
Anh-Thi-Mac,App Loaded,0.02
Anh-Thi-Mac,Search Bar Profile Button clicked,14.473
Anh-Thi-Mac,Go to accessibility page click,2.158
Anh-Thi-Mac,Bold/Unbold check clicked,4.209
Anh-Thi-Mac,Cycle Color Blind Mode,4.7
Anh-Thi-Mac,Increase Text size clicked,4.209
Anh-Thi-Mac,Back button from accessibility page,3.239
Anh-Thi-Mac,Back button from profile page,1.448
Anh-Thi-Mac,CALENDAR navigation button clicked,2.886
Anh-Thi-Mac,Go Ahead in Calendar Date,3.307
Anh-Thi-Mac,Set Calendar Date Daily,2.737
Anh-Thi-Mac,Search Bar Query submit,7.997
Anh-Thi-Mac,Campus Toggle LOYOLA,4.732
Anh-Thi-Mac,Campus Toggle SGW,1.907
Anh-Thi-Mac,Campus Toggle LOYOLA,1.523
Anh-Thi-Mac,CALENDAR navigation button clicked,2.365
Anh-Thi-Mac,Go Ahead in Calendar Date,2.937
Anh-Thi-Mac,Set Calendar Date Daily,1.066
Anh-Thi-Mac,Set Calendar Date Daily,0.811
Anh-Thi-Mac,Set Calendar Date Daily,0.159
Anh-Thi-Mac,Set Calendar Date Weekly,1.908
Anh-Thi-Mac,Set Calendar Date Daily,0.82
Anh-Thi-Mac,POI navigation button clicked,2.443
Anh-Thi-Mac,MAP navigation button clicked,1.549
Anh-Thi-Mac,CALENDAR navigation button clicked,2.283
Anh-Thi-Mac,MAP navigation button clicked,1.199
Anh-Thi-Mac,Click on Shuttle Stop marker,5.07
Anh-Thi-Mac,Show Shuttle full schedule,4.735
Anh-Thi-Mac,Dismiss Shuttle Stop Info card,11.423
Anh-Thi-Mac,Building suggestion clicked,7.291
Anh-Thi-Mac,Bottom Card Go (Search route),3.075
Tamar Oughourlian,App Loaded,0.091
Tamar Oughourlian,Search Bar Profile Button clicked,39.13
Tamar Oughourlian,Go to accessibility page click,1.898
Tamar Oughourlian,Increase Text size clicked,4.984
Tamar Oughourlian,Cycle Color Blind Mode,6.244
Tamar Oughourlian,Bold/Unbold check clicked,1.132
Tamar Oughourlian,Back button from accessibility page,1.61
Tamar Oughourlian,Back button from profile page,0.922
Tamar Oughourlian,CALENDAR navigation button clicked,10.053
Tamar Oughourlian,Go Ahead in Calendar Date,1.396
Tamar Oughourlian,MAP navigation button clicked,15.365
Tamar Oughourlian,Click on Shuttle Stop marker,3.712
Tamar Oughourlian,Show Shuttle full schedule,2.726
Tamar Oughourlian,Dismiss Shuttle Stop Info card,14.874
Tamar Oughourlian,Building suggestion clicked,11.734
Tamar Oughourlian,Bottom Card Go (Search route),4.821
Ahmed Gasser,App Loaded,0.056
Ahmed Gasser,Search Bar Profile Button clicked,11.303
Ahmed Gasser,Go to accessibility page click,1.198
Ahmed Gasser,Bold/Unbold check clicked,7.818
Ahmed Gasser,Cycle Color Blind Mode,3.092
Ahmed Gasser,Cycle Color Blind Mode,0.395
Ahmed Gasser,Cycle Color Blind Mode,0.91
Ahmed Gasser,Cycle Color Blind Mode,0.582
Ahmed Gasser,Cycle Color Blind Mode,0.571
Ahmed Gasser,Increase Text size clicked,4.536
Ahmed Gasser,Back button from accessibility page,2.079
Ahmed Gasser,Back button from profile page,4.613
Ahmed Gasser,CALENDAR navigation button clicked,2.028
Ahmed Gasser,Go Ahead in Calendar Date,1.628
Ahmed Gasser,Set Calendar Date Daily,8.969
Ahmed Gasser,POI navigation button clicked,11.582
Ahmed Gasser,MAP navigation button clicked,1.783
Ahmed Gasser,Click on Shuttle Stop marker,8.316
Ahmed Gasser,Show Shuttle full schedule,2.365
Ahmed Gasser,Dismiss Shuttle Stop Info card,10.038
Ahmed Gasser,Zoom In,3.942
Ahmed Gasser,Zoom In,0.651
Ahmed Gasser,Building suggestion clicked,12.058
Ahmed Gasser,Top Bar go click,5.164
