UserPersona,TaskName,duration_ms
ALEXIA_MARTIN,search_location,7187
ALEXIA_MARTIN,search_location,4291
SOFIA_LOPEZ,search_location,6558
JORDAN_LEE,search_location,3236
EMILY_NGUYEN,search_location,2567
LIAM_DUBOIS,search_location,1581
JORDAN_LEE,search_location,4432
EMILY_NGUYEN,search_location,2450
EMILY_NGUYEN,search_location,2844
EMILY_NGUYEN,search_location,2551
LIAM_DUBOIS,search_location,1101
SOFIA_LOPEZ,search_location,10746
EMILY_NGUYEN,search_location,2324
JORDAN_LEE,search_location,4618
JORDAN_LEE,search_location,4847
EMILY_NGUYEN,search_location,2002
LIAM_DUBOIS,search_location,9292
LIAM_DUBOIS,search_location,1064
LIAM_DUBOIS,search_location,1095
JORDAN_LEE,search_location,4360
SOFIA_LOPEZ,search_location,7682
ALEXIA_MARTIN,search_location,4959
EMILY_NGUYEN,search_location,2412
SOFIA_LOPEZ,search_location,6155
LIAM_DUBOIS,search_location,1312
EMILY_NGUYEN,search_location,2850
EMILY_NGUYEN,search_location,2323
LIAM_DUBOIS,search_location,1328
ALEXIA_MARTIN,search_location,5481
LIAM_DUBOIS,search_location,1253
JORDAN_LEE,search_location,3928
ALEXIA_MARTIN,search_location,4294
JORDAN_LEE,search_location,2906
SOFIA_LOPEZ,search_location,7407
SOFIA_LOPEZ,search_location,9889
EMILY_NGUYEN,search_location,2890
ALEXIA_MARTIN,search_location,5576
LIAM_DUBOIS,search_location,1234
LIAM_DUBOIS,search_location,1262
LIAM_DUBOIS,search_location,1006
SOFIA_LOPEZ,search_location,7124
ALEXIA_MARTIN,search_location,3921
ALEXIA_MARTIN,search_location,3801
EMILY_NGUYEN,search_location,2512
LIAM_DUBOIS,search_location,1515
ALEXIA_MARTIN,search_location,5269
ALEXIA_MARTIN,search_location,5283
SOFIA_LOPEZ,search_location,7667
JORDAN_LEE,search_location,3056
SOFIA_LOPEZ,search_location,5948
ALEXIA_MARTIN,accessibility_change,12593
EMILY_NGUYEN,accessibility_change,5869
ALEXIA_MARTIN,accessibility_change,11107
ALEXIA_MARTIN,accessibility_change,11946
LIAM_DUBOIS,accessibility_change,2517
JORDAN_LEE,accessibility_change,10912
LIAM_DUBOIS,accessibility_change,3681
ALEXIA_MARTIN,accessibility_change,10771
EMILY_NGUYEN,accessibility_change,5448
EMILY_NGUYEN,accessibility_change,5466
LIAM_DUBOIS,accessibility_change,3149
EMILY_NGUYEN,accessibility_change,4661
JORDAN_LEE,accessibility_change,9261
SOFIA_LOPEZ,accessibility_change,14811
EMILY_NGUYEN,accessibility_change,4812
EMILY_NGUYEN,accessibility_change,4311
LIAM_DUBOIS,accessibility_change,2406
ALEXIA_MARTIN,accessibility_change,11389
EMILY_NGUYEN,accessibility_change,4764
JORDAN_LEE,accessibility_change,10467
JORDAN_LEE,accessibility_change,8852
JORDAN_LEE,accessibility_change,6708
SOFIA_LOPEZ,accessibility_change,14898
EMILY_NGUYEN,accessibility_change,4310
JORDAN_LEE,accessibility_change,7609
LIAM_DUBOIS,accessibility_change,2890
ALEXIA_MARTIN,accessibility_change,11311
SOFIA_LOPEZ,accessibility_change,15802
LIAM_DUBOIS,accessibility_change,2536
EMILY_NGUYEN,accessibility_change,4812
JORDAN_LEE,accessibility_change,9129
ALEXIA_MARTIN,accessibility_change,13111
EMILY_NGUYEN,accessibility_change,5934
ALEXIA_MARTIN,accessibility_change,10899
EMILY_NGUYEN,accessibility_change,5389
ALEXIA_MARTIN,accessibility_change,12194
JORDAN_LEE,accessibility_change,7890
LIAM_DUBOIS,accessibility_change,2687
JORDAN_LEE,accessibility_change,8656
EMILY_NGUYEN,accessibility_change,6077
JORDAN_LEE,accessibility_change,6699
EMILY_NGUYEN,accessibility_change,5603
EMILY_NGUYEN,accessibility_change,5037
ALEXIA_MARTIN,accessibility_change,11693
LIAM_DUBOIS,accessibility_change,2604
EMILY_NGUYEN,accessibility_change,5299
SOFIA_LOPEZ,accessibility_change,15122
LIAM_DUBOIS,accessibility_change,3236
EMILY_NGUYEN,accessibility_change,4821
SOFIA_LOPEZ,accessibility_change,16797
