UserPersona,TaskName,duration_ms
ALEXIA_MARTIN,accessibility_change,12593
EMILY_NGUYEN,accessibility_change,5869
ALEXIA_MARTIN,accessibility_change,11107
ALEXIA_MARTIN,accessibility_change,11946
LIAM_DUBOIS,accessibility_change,2517
JORDAN_LEE,accessibility_change,10912
LIAM_DUBOIS,accessibility_change,3681
ALEXIA_MARTIN,accessibility_change,10771
EMILY_NGUYEN,accessibility_change,5448
EMILY_NGUYEN,accessibility_change,5466
LIAM_DUBOIS,accessibility_change,3149
EMILY_NGUYEN,accessibility_change,4661
JORDAN_LEE,accessibility_change,9261
SOFIA_LOPEZ,accessibility_change,14811
EMILY_NGUYEN,accessibility_change,4812
EMILY_NGUYEN,accessibility_change,4311
LIAM_DUBOIS,accessibility_change,2406
ALEXIA_MARTIN,accessibility_change,11389
EMILY_NGUYEN,accessibility_change,4764
JORDAN_LEE,accessibility_change,10467
JORDAN_LEE,accessibility_change,8852
JORDAN_LEE,accessibility_change,6708
SOFIA_LOPEZ,accessibility_change,14898
EMILY_NGUYEN,accessibility_change,4310
JORDAN_LEE,accessibility_change,7609
LIAM_DUBOIS,accessibility_change,2890
ALEXIA_MARTIN,accessibility_change,11311
SOFIA_LOPEZ,accessibility_change,15802
LIAM_DUBOIS,accessibility_change,2536
EMILY_NGUYEN,accessibility_change,4812
JORDAN_LEE,accessibility_change,9129
ALEXIA_MARTIN,accessibility_change,13111
EMILY_NGUYEN,accessibility_change,5934
ALEXIA_MARTIN,accessibility_change,10899
EMILY_NGUYEN,accessibility_change,5389
ALEXIA_MARTIN,accessibility_change,12194
JORDAN_LEE,accessibility_change,7890
LIAM_DUBOIS,accessibility_change,2687
JORDAN_LEE,accessibility_change,8656
EMILY_NGUYEN,accessibility_change,6077
JORDAN_LEE,accessibility_change,6699
EMILY_NGUYEN,accessibility_change,5603
EMILY_NGUYEN,accessibility_change,5037
ALEXIA_MARTIN,accessibility_change,11693
LIAM_DUBOIS,accessibility_change,2604
EMILY_NGUYEN,accessibility_change,5299
SOFIA_LOPEZ,accessibility_change,15122
LIAM_DUBOIS,accessibility_change,3236
EMILY_NGUYEN,accessibility_change,4821
SOFIA_LOPEZ,accessibility_change,16797
