UserPersona,TaskName,duration_ms
ALEXIA_MARTIN,search_location,7187
ALEXIA_MARTIN,search_location,4291
SOFIA_LOPEZ,search_location,6558
JORDAN_LEE,search_location,3236
EMILY_NGUYEN,search_location,2567
LIAM_DUBOIS,search_location,1581
JORDAN_LEE,search_location,4432
EMILY_NGUYEN,search_location,2450
EMILY_NGUYEN,search_location,2844
EMILY_NGUYEN,search_location,2551
LIAM_DUBOIS,search_location,1101
SOFIA_LOPEZ,search_location,10746
EMILY_NGUYEN,search_location,2324
JORDAN_LEE,search_location,4618
JORDAN_LEE,search_location,4847
EMILY_NGUYEN,search_location,2002
LIAM_DUBOIS,search_location,9292
LIAM_DUBOIS,search_location,1064
LIAM_DUBOIS,search_location,1095
JORDAN_LEE,search_location,4360
SOFIA_LOPEZ,search_location,7682
ALEXIA_MARTIN,search_location,4959
EMILY_NGUYEN,search_location,2412
SOFIA_LOPEZ,search_location,6155
LIAM_DUBOIS,search_location,1312
EMILY_NGUYEN,search_location,2850
EMILY_NGUYEN,search_location,2323
LIAM_DUBOIS,search_location,1328
ALEXIA_MARTIN,search_location,5481
LIAM_DUBOIS,search_location,1253
JORDAN_LEE,search_location,3928
ALEXIA_MARTIN,search_location,4294
JORDAN_LEE,search_location,2906
SOFIA_LOPEZ,search_location,7407
SOFIA_LOPEZ,search_location,9889
EMILY_NGUYEN,search_location,2890
ALEXIA_MARTIN,search_location,5576
LIAM_DUBOIS,search_location,1234
LIAM_DUBOIS,search_location,1262
LIAM_DUBOIS,search_location,1006
SOFIA_LOPEZ,search_location,7124
ALEXIA_MARTIN,search_location,3921
ALEXIA_MARTIN,search_location,3801
EMILY_NGUYEN,search_location,2512
LIAM_DUBOIS,search_location,1515
ALEXIA_MARTIN,search_location,5269
ALEXIA_MARTIN,search_location,5283
SOFIA_LOPEZ,search_location,7667
JORDAN_LEE,search_location,3056
SOFIA_LOPEZ,search_location,5948
