[2026-03-08 17:26:05.090 15093-15150 m140.box                com.example.campusguide              I  getExecutor  CREATED  boq@6980a3b[Network]
 2026-03-08 17:26:05.103 15093-15150 GMM-Satell...nnectivity com.example.campusguide              W  WIFI  isActiveNetworkSatellite: false
 2026-03-08 17:26:05.110 15093-15150 m140.box                com.example.campusguide              I  getExecutor  CREATED  boq@ae09f04[LocFresh]
 2026-03-08 17:26:05.184 15093-15251 JavaCronetEngine        com.example.campusguide              W  using the fallback Cronet Engine implementation. Performance will suffer and many HTTP client features, including caching, will not work.
 2026-03-08 17:26:05.187 15093-15251 m140.byw                com.example.campusguide              I  Using Paint server URL: https://www.google.com/maps/vt
 2026-03-08 17:26:05.222 15093-15251 m140.byj                com.example.campusguide              I  PaintParametersListeningServerChannelManager got a client parameters update event.
 2026-03-08 17:26:05.223 15093-15251 m140.btv                com.example.campusguide              I  Updating the server URL. Old URL: https://www.google.com/maps/vt New URL: https://www.google.com/maps/vt
 2026-03-08 17:26:05.225 15093-15251 m140.btv                com.example.campusguide              I  Creating a new server channel with URL: https://www.google.com/maps/vt, server channel factory class: class m140.bts
 2026-03-08 17:26:05.598 15093-15093 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:06.198 15093-15150 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:08.580 15093-15093 USABILITY               com.example.campusguide              D  CALENDAR navigation button clicked,116.373
 2026-03-08 17:26:08.730 15093-15148 m140.few                com.example.campusguide              W  Destroying egl surface
 2026-03-08 17:26:09.933 15093-15093 USABILITY               com.example.campusguide              D  MAP navigation button clicked,1.352
 2026-03-08 17:26:10.274 15093-15093 MapsInitializer         com.example.campusguide              D  preferredRenderer: null
 2026-03-08 17:26:10.275 15093-15093 zzcc                    com.example.campusguide              D  preferredRenderer: null
 2026-03-08 17:26:10.278 15093-15093 Google Android Maps SDK com.example.campusguide              I  Google Play services package version: 260864038
 2026-03-08 17:26:10.279 15093-15093 Google Android Maps SDK com.example.campusguide              I  Google Play services maps renderer version(maps_core): 254515602
 2026-03-08 17:26:10.345 15093-15093 m140.cek                com.example.campusguide              I  FpsProfiler MAIN created on main
 2026-03-08 17:26:10.375 15093-15093 m140.dvj                com.example.campusguide              I  Map using legacy labeler
 2026-03-08 17:26:10.381 15093-15093 m140.duc                com.example.campusguide              I  Network fetching: false
 2026-03-08 17:26:10.383 15093-15093 m140.duc                com.example.campusguide              I  requestDrawingConfig for epoch 769 legend ROADMAP
 2026-03-08 17:26:10.399 15093-15093 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:26:10.408 15093-15147 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:26:10.416 15093-15147 m140.duc                com.example.campusguide              I  Network fetching: true
 2026-03-08 17:26:10.454 15093-15093 m140.epd                com.example.campusguide              I  Found 47 zoom mappings
 2026-03-08 17:26:10.462 15093-15093 m140.epd                com.example.campusguide              I  Zoom tables loaded
 2026-03-08 17:26:10.684 15093-15147 HWUI                    com.example.campusguide              W  Image decoding logging dropped!
 2026-03-08 17:26:11.046 15093-15093 Choreographer           com.example.campusguide              I  Skipped 66 frames!  The application may be doing too much work on its main thread.
 2026-03-08 17:26:11.110 15093-15196 HWUI                    com.example.campusguide              I  Davey! duration=1151ms; Flags=0, FrameTimelineVsyncId=105172, IntendedVsync=19659759528307, Vsync=19659759528307, InputEventId=982342704, HandleInputStart=19659766505844, AnimationStart=19659766506679, PerformTraversalsStart=19660523237893, DrawStart=19660523335513, FrameDeadline=19660892861595, FrameStartTime=19659766502213, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=19660871520521, SyncStart=19660876667691, IssueDrawCommandsStart=19660876972309, SwapBuffers=19660884349261, FrameCompleted=19660915790886, DequeueBufferDuration=20181806, QueueBufferDuration=2327493, GpuCompleted=19660901116760, SwapBuffersCompleted=19660915790886, DisplayPresentTime=0, CommandSubmissionCompleted=19660884349261,
 2026-03-08 17:26:11.242 15093-15093 m140.dpe                com.example.campusguide              W  ClientArea created with texture coordinates, but has a non-textured style.
