buildingCode,buildingName,address,campus,departments,accessibility,notes,services,venues,hours
AD,Administration Building,7141 Sherbrooke St. W.,Loyola,Faculty of Arts and Science,"Accessibility ramp, Accessible entrance, Accessible building elevator",,"
    Access Centre for Students with Disabilities,
    Centre for Teaching and Learning,
    Counselling and Psychological Services,
    Health Services,
    Loyola College for Diversity and Sustainability,
    Loyola Landing,
   ""Office of the Provost and Vice-President, Academic"",
    Office of Student Life and Engagement,
    Welcome Crew Office",,"Monday-Friday: 9:00 AM - 5:00 PM
Closed weekends and holidays"
BB,BB Annex,3502 Belmore Ave.,Loyola,,No,,CPE Les P'tits Profs Daycare,,"Monday-Friday: 7:00 AM - 11:00 PM
Saturday-Sunday: 7:00 AM - 9:00 PM
After-hours access for authorized personnel"
BH,BH Annex,3500 Belmore Ave.,Loyola,,No,,CPE Les P'tits Profs Daycare,,"Monday-Friday: 7:00 AM - 11:00 PM
Saturday-Sunday: 7:00 AM - 9:00 PM
After-hours access for authorized personnel"
CC,Central Building,7141 Sherbrooke St. W.,Loyola,,"Wheelchair lift, Accessible entrance, Accessible building elevator",,"
    Concordia Student ,
    Loyola College for Diversity and Sustainability and Loyola,
    Zen Den",,"Monday-Friday: 7:00 AM - 11:00 PM
Saturday-Sunday: 7:00 AM - 9:00 PM
After-hours access for authorized personnel"
CJ,Communication Studies and Journalism Building,7141 Sherbrooke St. W.,Loyola,"
    Communication Studies,
    Journalism","Wheelchair lift, Accessibility ramp, Accessible entrance, Accessible building elevator",,Book Stop,,"Monday-Friday: 7:00 AM - 11:00 PM
Saturday-Sunday: 7:00 AM - 9:00 PM
After-hours access for authorized personnel"
DO,Stinger Dome,7141 Sherbrooke St. W.,Loyola,,No,,Concordia Stingers,,"Monday-Friday: 7:00 AM - 11:00 PM
Saturday-Sunday: 7:00 AM - 9:00 PM
After-hours access for authorized personnel"
FC,F.C. Smith Building,7141 Sherbrooke St. W.,Loyola,,"Accessibility ramp, Accessible entrance",,,Loyola Chapel,"Monday-Friday: 7:00 AM - 11:00 PM
Saturday-Sunday: 7:00 AM - 9:00 PM
After-hours access for authorized personnel"
GE,Centre for Structural and Functional Genomics,7141 Sherbrooke St. W.,Loyola,,"

Accessible entrance, Accessible building elevator",,Centre for Structural and Functional Genomics,,"Monday-Friday: 7:00 AM - 11:00 PM
Saturday-Sunday: 7:00 AM - 9:00 PM
After-hours access for authorized personnel"
HA,"Hingston Hall, wing HA",7141 Sherbrooke St. W.,Loyola,,Accessible entrance,Student Housing,Student Residence,,"24/7 access for residents
Visitor access restrictions apply"
HB,"Hingston Hall, wing HB",7141 Sherbrooke St. W.,Loyola,,Accessible entrance,Student Housing,"
    Concordia University Faculty Association (CUFA),
    Student Residence",,"24/7 access for residents
Visitor access restrictions apply"
HC,"Hingston Hall, wing HC",7141 Sherbrooke St. W.,Loyola,,Accessible entrance,,Student Residence,,"24/7 access for residents
Visitor access restrictions apply"
